symbol,kiteSymbol,sector
NIFTYAUTO,NIFTYAUTO,AUTO
M&M,M&M,AUTO
EICHERMOT,EICHERMOT,AUTO
TVSMOTOR,TVSMOTOR,AUTO
ASHOKLEY,ASHOKLEY,AUTO
TATAMOTORSPV,TATAMOTORSPV,AUTO
BAJAJ-AUTO,BAJAJ-AUTO,AUTO
BHARATFORG,BHARATFORG,AUTO
EXIDEIND,EXIDEIND,AUTO
HEROMOTOCO,HEROMOTOCO,AUTO
NIFTYFMCG,NIFTYFMCG,FMCG
HINDUNILVR,HINDUNILVR,FMCG
ITC,ITC,FMCG
NESTLEIND,NESTLEIND,FMCG
VBL,VBL,FMCG
TATACONSUM,TATACONSUM,FMCG
BRITANNIA,BRITANNIA,FMCG
DABUR,DABUR,FMCG
GODREJCP,GODREJCP,FMCG
COLPAL,COLPAL,FMCG
MARICO,MARICO,FMCG
NIFTYFINSERVICE,NIFTYFINSERVICE,FINANCE
BSE,BSE,FINANCE
MCX,MCX,FINANCE
SHRIRAMFIN,SHRIRAMFIN,FINANCE
BAJFINANCE,BAJFINANCE,FINANCE
JIOFIN,JIOFIN,FINANCE
CHOLAFIN,CHOLAFIN,FINANCE
LTF,LTF,FINANCE
MFSL,MFSL,FINANCE
HDFCAMC,HDFCAMC,FINANCE
CDSL,CDSL,FINANCE
ABCAPITAL,ABCAPITAL,FINANCE
MUTHOOTFIN,MUTHOOTFIN,FINANCE
NIFTYIT,NIFTYIT,IT
NIFTY,NIFTY,IT
BANKNIFTY,BANKNIFTY,IT
INFY,INFY,IT
WIPRO,WIPRO,IT
TCS,TCS,IT
COFORGE,COFORGE,IT
PERSISTENT,PERSISTENT,IT
TECHM,TECHM,IT
LTIM,LTIM,IT
MPHASIS,MPHASIS,IT
HCLTECH,HCLTECH,IT
LTTS,LTTS,IT
TATAELXSI,TATAELXSI,IT
KPITTECH,KPITTECH,IT
CYIENT,CYIENT,IT
LATENTVIEW,LATENTVIEW,IT
BHARTIARTL,BHARTIARTL,IT
NIFTYMETAL,NIFTYMETAL,METAL
TATASTEEL,TATASTEEL,METAL
HINDALCO,HINDALCO,METAL
JSWSTEEL,JSWSTEEL,METAL
JINDALSTEL,JINDALSTEL,METAL
SAIL,SAIL,METAL
NMDC,NMDC,METAL
NATIONALUM,NATIONALUM,METAL
HINDZINC,HINDZINC,METAL
VEDL,VEDL,METAL
ADANIENT,ADANIENT,METAL
NIFTYPHARMA,NIFTYPHARMA,PHARMA
SUNPHARMA,SUNPHARMA,PHARMA
CIPLA,CIPLA,PHARMA
DRREDDY,DRREDDY,PHARMA
LUPIN,LUPIN,PHARMA
AUROPHARMA,AUROPHARMA,PHARMA
ZYDUSLIFE,ZYDUSLIFE,PHARMA
TORNTPHARM,TORNTPHARM,PHARMA
ALKEM,ALKEM,PHARMA
MANKIND,MANKIND,PHARMA
GLENMARK,GLENMARK,PHARMA
IPCALAB,IPCALAB,PHARMA
BIOCON,BIOCON,PHARMA
LAURUSLABS,LAURUSLABS,PHARMA
NIFTYPSUBANK,NIFTYPSUBANK,PSUBANK
SBIN,SBIN,PSUBANK
CANBK,CANBK,PSUBANK
INDIANB,INDIANB,PSUBANK
UNIONBANK,UNIONBANK,PSUBANK
NIFTYPVTBANK,NIFTYPVTBANK,PVTBANK
HDFCBANK,HDFCBANK,PVTBANK
ICICIBANK,ICICIBANK,PVTBANK
AXISBANK,AXISBANK,PVTBANK
IDFCFIRSTB,IDFCFIRSTB,PVTBANK
FEDERALBNK,FEDERALBNK,PVTBANK
AUBANK,AUBANK,PVTBANK
KARURVYSYA,KARURVYSYA,PVTBANK
CITYUNION,CUB,PVTBANK
TMB,TMB,PVTBANK
NIFTYCONSUMERDUR,NIFTYCONSUMERDUR,CONSUMER
TITAN,TITAN,CONSUMER
VOLTAS,VOLTAS,CONSUMER
DIXON,DIXON,CONSUMER
KALYANKJIL,KALYANKJIL,CONSUMER
BLUESTARCO,BLUESTARCO,CONSUMER
HAVELLS,HAVELLS,CONSUMER
NIFTYOILGAS,NIFTYOILGAS,OILGAS
RELIANCE,RELIANCE,OILGAS
ONGC,ONGC,OILGAS
GAIL,GAIL,OILGAS
OIL,OIL,OILGAS
GUJGASLTD,GUJGASLTD,OILGAS
GSPL,GSPL,OILGAS
NIFTYCHEMICAL,NIFTYCHEMICAL,CHEMICAL
PIDILITIND,PIDILITIND,CHEMICAL
SRF,SRF,CHEMICAL
DEEPAKNTR,DEEPAKNTR,CHEMICAL
NAVINFLUOR,NAVINFLUOR,CHEMICAL
EIDPARRY,EIDPARRY,CHEMICAL
GNFC,GNFC,CHEMICAL
