DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
25-Jun-2026,EQ,"1,040.00","1,055.40","1,038.55","1,034.60","1,045.20","1,045.40","1,048.87","1,234.70","786.55","1,60,02,360","16,78,44,21,896.90","2,68,790"
24-Jun-2026,EQ,"1,024.00","1,044.50","1,020.50","1,024.20","1,034.50","1,034.60","1,035.57","1,234.70","786.55","1,17,24,076","12,14,11,07,967.10","1,61,067"
23-Jun-2026,EQ,"1,041.00","1,045.50","1,022.35","1,040.75","1,023.60","1,024.20","1,030.97","1,234.70","786.55","1,04,11,004","10,73,34,39,766.00","1,62,889"
22-Jun-2026,EQ,"1,038.00","1,043.00","1,033.60","1,035.10","1,041.00","1,040.75","1,038.00","1,234.70","786.55","62,09,440","6,44,53,80,948.95","1,39,617"
19-Jun-2026,EQ,"1,042.00","1,042.00","1,029.30","1,042.70","1,036.00","1,035.10","1,034.62","1,234.70","781.70","90,99,878","9,41,48,99,536.85","1,16,893"
18-Jun-2026,EQ,"1,027.90","1,045.70","1,024.45","1,026.50","1,042.50","1,042.70","1,038.39","1,234.70","781.70","1,10,48,009","11,47,21,86,219.45","1,81,508"
17-Jun-2026,EQ,"1,017.00","1,028.10","1,013.45","1,015.30","1,026.50","1,026.50","1,021.04","1,234.70","781.70","81,90,062","8,36,23,76,221.65","1,49,867"
16-Jun-2026,EQ,"1,023.80","1,026.55","1,007.40","1,020.85","1,016.05","1,015.30","1,014.02","1,234.70","781.70","96,93,677","9,82,95,55,551.65","1,90,586"
15-Jun-2026,EQ,"1,034.00","1,034.00","1,018.50","1,017.15","1,021.00","1,020.85","1,025.74","1,234.70","781.70","1,24,63,437","12,78,41,90,020.00","2,30,802"
12-Jun-2026,EQ,"1,018.00","1,018.70","1,004.35","1,000.70","1,016.40","1,017.15","1,012.08","1,234.70","781.70","1,10,81,119","11,21,50,18,376.10","1,93,711"
11-Jun-2026,EQ,"998.10","1,009.40","993.00","1,003.25","1,001.10","1,000.70","1,003.38","1,234.70","781.70","1,37,73,978","13,82,04,94,684.50","1,95,579"
10-Jun-2026,EQ,"1,002.70","1,012.40","999.50","1,002.70","1,000.85","1,003.25","1,006.59","1,234.70","781.70","1,91,22,317","19,24,83,43,087.60","2,15,158"
09-Jun-2026,EQ,"985.00","1,009.00","983.00","981.95","1,004.10","1,002.70","998.02","1,234.70","781.70","2,21,42,480","22,09,86,42,356.05","2,70,891"
08-Jun-2026,EQ,"966.00","988.65","965.15","977.70","980.00","981.95","981.33","1,234.70","781.70","1,28,95,416","12,65,46,05,651.45","4,52,384"
05-Jun-2026,EQ,"980.00","992.60","970.60","979.25","977.00","977.70","981.76","1,234.70","781.70","2,09,55,539","20,57,33,51,918.85","2,88,991"
04-Jun-2026,EQ,"969.90","985.80","961.10","970.45","979.25","979.25","977.95","1,234.70","781.70","1,88,75,883","18,45,96,45,864.00","3,41,904"
03-Jun-2026,EQ,"953.75","974.00","937.20","956.65","971.50","970.45","948.57","1,234.70","781.70","2,79,47,005","26,50,95,98,648.70","2,51,452"
02-Jun-2026,EQ,"950.95","961.30","939.90","954.10","960.00","956.65","951.21","1,234.70","781.70","1,59,11,760","15,13,53,70,050.05","2,54,830"
01-Jun-2026,EQ,"966.25","970.25","950.10","964.40","954.50","954.10","959.25","1,234.70","781.70","1,11,18,975","10,66,58,83,396.95","1,70,313"
29-May-2026,EQ,"967.80","973.70","960.30","967.80","965.30","964.40","965.50","1,234.70","781.70","2,22,92,535","21,52,33,52,057.10","2,58,939"
27-May-2026,EQ,"969.80","975.90","966.60","968.50","967.30","967.80","969.93","1,234.70","781.70","81,11,259","7,86,73,78,301.30","1,87,071"
26-May-2026,EQ,"969.90","978.80","962.10","969.60","969.80","968.50","970.57","1,234.70","781.70","1,62,69,800","15,79,09,48,718.10","1,71,204"
25-May-2026,EQ,"959.90","972.50","957.50","949.20","972.30","969.60","963.32","1,234.70","781.70","1,09,34,747","10,53,36,28,661.40","1,82,636"
22-May-2026,EQ,"950.90","958.60","947.70","950.90","949.60","949.20","952.41","1,234.70","779.10","78,07,192","7,43,56,61,813.40","1,42,000"
21-May-2026,EQ,"957.00","960.90","946.50","950.90","950.00","950.90","952.38","1,234.70","779.10","1,17,56,520","11,19,66,37,968.60","1,75,233"
20-May-2026,EQ,"941.10","955.00","935.00","948.80","950.00","950.90","946.20","1,234.70","779.10","1,19,28,460","11,28,67,67,833.50","1,91,643"
19-May-2026,EQ,"942.00","956.60","939.50","939.40","946.90","948.80","947.88","1,234.70","779.10","1,72,80,869","16,38,02,27,268.50","7,49,834"
18-May-2026,EQ,"952.00","954.90","933.90","963.20","938.80","939.40","939.86","1,234.70","779.10","1,65,54,877","15,55,92,79,361.80","6,08,579"
15-May-2026,EQ,"971.20","972.50","957.00","979.90","961.60","963.20","966.70","1,234.70","779.10","2,69,72,493","26,07,43,90,324.80","2,98,397"
14-May-2026,EQ,"973.50","987.00","963.60","970.10","982.30","979.90","977.65","1,234.70","779.10","1,64,87,142","16,11,85,77,818.20","2,60,699"
13-May-2026,EQ,"978.00","981.20","961.20","974.60","971.00","970.10","972.53","1,234.70","779.10","1,75,84,580","17,10,15,94,137.40","3,13,800"
12-May-2026,EQ,"976.90","981.40","962.40","973.60","976.10","974.60","972.20","1,234.70","779.10","2,57,87,092","25,07,01,26,165.50","4,43,183"
11-May-2026,EQ,"1,007.00","1,007.00","971.10","1,019.30","974.90","973.60","980.59","1,234.70","779.10","4,69,27,396","46,01,67,55,311.20","10,16,193"
08-May-2026,EQ,"1,090.00","1,095.00","1,010.90","1,092.00","1,018.40","1,019.30","1,037.45","1,234.70","755.50","4,80,65,909","49,86,58,87,970.40","5,92,384"
07-May-2026,EQ,"1,106.00","1,108.00","1,086.10","1,096.00","1,092.90","1,092.00","1,094.08","1,234.70","755.50","1,61,05,163","17,62,03,07,945.50","2,61,618"
06-May-2026,EQ,"1,072.00","1,101.10","1,061.20","1,059.90","1,099.00","1,096.00","1,078.83","1,234.70","755.50","1,43,84,779","15,51,86,91,513.00","1,96,273"
